orien_mechanism_and_cause,x,y,b15_code,b15_description,b2_sub_codes,b2_sub_names,b3_sub_codes,b3_sub_names,b3_candidate_count,confidence,proposer,needs_review
Arcs due to Breakdown in insulation,Arcs,Breakdown in insulation,Electrical short,Unintended conductive path resulting in short circuit.,4.1,Short circuiting,"1.4,2.3,2.1","Material defect,Maintenance error,Operating error",3,medium,rule,Y
Blocks due to Contamination,Blocks,Contamination,Blocked/plugged/restricted,Flow or movement impeded by obstruction or fouling.,"5.1,5.2","Blockage/plugged,Contamination",3.1,Contamination,1,high,rule,
Blocks due to Excessive particle size,Blocks,Excessive particle size,Blocked/plugged/restricted,Flow or movement impeded by obstruction or fouling.,5.1,Blockage/plugged,"2.1,3.1,1.1","Operating error,Contamination,Design error",3,medium,rule,Y
Blocks due to Insufficient fluid velocity,Blocks,Insufficient fluid velocity,Blocked/plugged/restricted,Flow or movement impeded by obstruction or fouling.,5.1,Blockage/plugged,"1.1,2.1,2.3","Design error,Operating error,Maintenance error",3,medium,rule,Y
Breaks/Fracture/Separates due to Cyclic loading (thermal/mechanical),Breaks/Fracture/Separates,Cyclic loading (thermal/mechanical),Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.6","Breakage,Fatigue","1.1,2.1","Design error,Operating error",2,medium,rule,Y
Breaks/Fracture/Separates due to Mechanical overload,Breaks/Fracture/Separates,Mechanical overload,Cracked/fractured/broken,Presence of crack or breakage in a component.,2.5,Breakage,"2.1,1.1","Operating error,Design error",2,medium,rule,Y
Breaks/Fracture/Separates due to Thermal overload,Breaks/Fracture/Separates,Thermal overload,Cracked/fractured/broken,Presence of crack or breakage in a component.,"2.5,2.7","Breakage,Overheating","2.1,1.1","Operating error,Design error",2,medium,rule,Y
Corrodes due to Bio-organisms,Corrodes,Bio-organisms,Corroded,Material degradation due to corrosion.,2.2,Corrosion,3.4,Environment,1,high,rule,
Corrodes due to Chemical attack,Corrodes,Chemical attack,Corroded,Material degradation due to corrosion.,2.2,Corrosion,3.4,Environment,1,high,rule,
Corrodes due to Corrosive environment,Corrodes,Corrosive environment,Corroded,Material degradation due to corrosion.,2.2,Corrosion,3.4,Environment,1,high,rule,
Corrodes due to Crevice,Corrodes,Crevice,Corroded,Material degradation due to corrosion.,2.2,Corrosion,"1.1,1.5","Design error,Installation error",2,medium,rule,Y
Corrodes due to Dissimilar metals contact,Corrodes,Dissimilar metals contact,Corroded,Material degradation due to corrosion.,2.2,Corrosion,"1.1,1.5","Design error,Installation error",2,medium,rule,Y
Corrodes due to Exposure to atmosphere,Corrodes,Exposure to atmosphere,Corroded,Material degradation due to corrosion.,2.2,Corrosion,3.4,Environment,1,high,rule,
Corrodes due to Exposure to high temperature corrosive environment,Corrodes,Exposure to high temperature corrosive environment,Corroded,Material degradation due to corrosion.,"2.2,2.7","Corrosion,Overheating",3.4,Environment,1,high,rule,
